Table Name(1),State Code (2),District Code(3),Tehsil Code  (4),Town  Code (5),Area Name (6),Total/ Rural/ Urban(7),Total number of households (8),Total number of households availing banking services  (9),"Availability of assets Radio/
Transistor (10)",Availability of assets Television (11),Availability of assets Computer/Laptop With Internet (12),Availability of assets Computer/Laptop Without Internet (13),Availability of assets Telephone/Mobile PhoneLandline only (14),Availability of assets Telephone/Mobile Phone Mobile only (15),Availability of assets Telephone/Mobile Phone Both (16),Availability of assets Bicycle (17),Availability of assets Scooter/ Motorcycle/Moped (18),Availability of assets Car/ Jeep/Van (19),"Availability of assets Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car (20)",Availability of assets None of the assets specified in col.(21),,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00006,000000,Sub-District - Khansahib,Urban,333,311,286,246,44,30,11,217,47,4,8,24,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00006,800018,Khansahib (MC),Urban,333,311,286,246,44,30,11,217,47,4,8,24,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00007,000000,Sub-District - Budgam,Total,19333,10647,12858,12701,466,1050,905,12539,704,2590,1198,928,324,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00007,000000,Sub-District - Budgam,Rural,16182,8083,10866,10198,375,862,793,10047,557,2289,1034,705,251,1515,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00007,000000,Sub-District - Budgam,Urban,3151,2564,1992,2503,91,188,112,2492,147,301,164,223,73,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00007,800019,Badgam (MC),Urban,2160,1754,1329,1735,80,162,81,1750,93,229,124,205,67,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00007,000720,Ichgam (CT),Urban,991,810,663,768,11,26,31,742,54,72,40,18,6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00008,000000,Sub-District - Chadoora,Total,29123,17620,19294,19567,926,1244,636,22520,1562,4799,3090,2555,891,2082,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00008,000000,Sub-District - Chadoora,Rural,23167,13011,14679,14469,471,762,478,17666,1044,3167,2034,1612,400,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00008,000000,Sub-District - Chadoora,Urban,5956,4609,4615,5098,455,482,158,4854,518,1632,1056,943,491,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00008,800020,Chadura (MC),Urban,772,689,500,612,35,69,12,628,59,67,84,98,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00008,800013,Srinagar (M Corp. + OG) (Part),Urban,3113,2321,2519,2757,263,282,112,2446,317,1154,702,599,350,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00008,000829,Nagam (CT),Urban,1023,777,778,767,39,58,17,850,80,59,101,85,45,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00008,000830,Kral Pora (CT),Urban,1048,822,818,962,118,73,17,930,62,352,169,161,61,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00009,000000,Sub-District - Charar- E- Shrief,Total,6653,2395,3613,2764,97,176,109,3763,460,88,138,219,60,1423,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00009,000000,Sub-District - Charar- E- Shrief,Rural,4630,1017,2209,1412,25,51,68,2287,143,37,68,83,17,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00009,000000,Sub-District - Charar- E- Shrief,Urban,2023,1378,1404,1352,72,125,41,1476,317,51,70,136,43,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00009,800021,Charar-i-Sharief (MC),Urban,2023,1378,1404,1352,72,125,41,1476,317,51,70,136,43,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00000,000000,District - Leh(Ladakh),Total,20777,18137,15210,13597,574,1576,2646,6331,4859,609,1289,4271,971,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00000,000000,District - Leh(Ladakh),Rural,14590,12425,10238,8101,212,760,2157,3400,2552,434,815,2404,267,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00000,000000,District - Leh(Ladakh),Urban,6187,5712,4972,5496,362,816,489,2931,2307,175,474,1867,704,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00010,000000,Sub-District - Leh,Total,14630,12906,11046,10733,492,1295,1441,5248,4127,345,963,3225,878,1174,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00010,000000,Sub-District - Leh,Rural,8443,7194,6074,5237,130,479,952,2317,1820,170,489,1358,174,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00010,000000,Sub-District - Leh,Urban,6187,5712,4972,5496,362,816,489,2931,2307,175,474,1867,704,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00010,800047,Leh Ladakh (MC),Urban,3734,3601,3246,3403,325,649,352,1439,1759,110,307,1440,600,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00010,000909,Spituk (CT),Urban,667,567,400,591,7,33,39,356,178,17,51,150,26,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00010,000910,Chuglamsar (CT),Urban,1786,1544,1326,1502,30,134,98,1136,370,48,116,277,78,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00011,000000,Sub-District - Nubra,Total,3383,3062,2104,1635,26,165,508,704,369,130,139,454,34,478,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00011,000000,Sub-District - Nubra,Rural,3383,3062,2104,1635,26,165,508,704,369,130,139,454,34,478,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00011,000000,Sub-District - Nubra,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00012,000000,Sub-District - Khalsi,Total,2764,2169,2060,1229,56,116,697,379,363,134,187,592,59,323,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00012,000000,Sub-District - Khalsi,Rural,2764,2169,2060,1229,56,116,697,379,363,134,187,592,59,323,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,003,00012,000000,Sub-District - Khalsi,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00000,000000,District - Kargil,Total,18212,14078,10895,8008,235,770,899,7733,1930,488,652,1847,249,3538,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00000,000000,District - Kargil,Rural,15442,11651,9047,6025,139,569,848,5709,1547,403,566,1359,120,3408,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00000,000000,District - Kargil,Urban,2770,2427,1848,1983,96,201,51,2024,383,85,86,488,129,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00013,000000,Sub-District - Kargil,Total,10991,9594,7339,5829,196,534,629,5415,1617,389,517,1530,227,1188,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00013,000000,Sub-District - Kargil,Rural,8221,7167,5491,3846,100,333,578,3391,1234,304,431,1042,98,1058,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00013,000000,Sub-District - Kargil,Urban,2770,2427,1848,1983,96,201,51,2024,383,85,86,488,129,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00013,800048,Kargil (MC),Urban,2770,2427,1848,1983,96,201,51,2024,383,85,86,488,129,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00014,000000,Sub-District - Sanku,Total,4935,3124,2062,1224,19,147,226,1426,191,80,76,192,13,1861,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00014,000000,Sub-District - Sanku,Rural,4935,3124,2062,1224,19,147,226,1426,191,80,76,192,13,1861,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00014,000000,Sub-District - Sanku,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00015,000000,Sub-District - Zanskar,Total,2286,1360,1494,955,20,89,44,892,122,19,59,125,9,489,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00015,000000,Sub-District - Zanskar,Rural,2286,1360,1494,955,20,89,44,892,122,19,59,125,9,489,,,,,,,,,,,,,,,,,,,,,,,,,,,
